,pe,lower,upper,var,group,subsetlabel
1,,,,Endorsement:,NA,Forced Response
1.01,0,0,0,  Low Endorsement,End,Forced Response
1.02,-0.00017764,-0.0160677,0.015712,  High Endorsement,End,Forced Response
1.1,,,, ,NA,Forced Response
2,,,,Outlet Slant:,NA,Forced Response
2.01,0.00354348,-0.0166142,0.023701,  Favored One's Own Party,Outlet,Forced Response
2.02,0,0,0,  Neutral Outlet,Outlet,Forced Response
2.03,-0.10626003,-0.1268424,-0.085678,  Favored The Other Party,Outlet,Forced Response
2.1,,,,  ,NA,Forced Response
3,,,,Message Slant:,NA,Forced Response
3.01,0.0268176,0.0061006,0.047535,  Biased Towards One's Own Party,Msg,Forced Response
3.02,0,0,0,  Neutral Message,Msg,Forced Response
3.03,-0.12671932,-0.1474472,-0.105991,  Biased Towards The Other Party,Msg,Forced Response
