,pe,lower,upper,var,group,subsetlabel
1,,,,Endorsement:,NA,Rated Response
1.01,0,0,0,  Low Endorsement,End,Rated Response
1.02,0.037616,-0.027653,0.102885,  High Endorsement,End,Rated Response
1.1,,,, ,NA,Rated Response
2,,,,Outlet Slant:,NA,Rated Response
2.01,0.010144,-0.067719,0.088006,  Favored One's Own Party,Outlet,Rated Response
2.02,0,0,0,  Neutral Outlet,Outlet,Rated Response
2.03,-0.498452,-0.581963,-0.414941,  Favored The Other Party,Outlet,Rated Response
2.1,,,,  ,NA,Rated Response
3,,,,Message Slant:,NA,Rated Response
3.01,0.221203,0.14363,0.298776,  Biased Towards One's Own Party,Msg,Rated Response
3.02,0,0,0,  Neutral Message,Msg,Rated Response
3.03,-0.460642,-0.543924,-0.377359,  Biased Towards The Other Party,Msg,Rated Response
