,pe,lower,upper,var,group,subsetlabel
1,,,,Endorsement:,NA,Rated Response
1.01,0,0,0,  Low Endorsement,End,Rated Response
1.02,-0.02093796,-0.12728881,0.0854129,  High Endorsement,End,Rated Response
1.1,,,, ,NA,Rated Response
2,,,,Outlet Slant:,NA,Rated Response
2.01,-0.07524547,-0.19149942,0.04100848,  Favored One's Own Party,Outlet,Rated Response
2.02,0,0,0,  Neutral Outlet,Outlet,Rated Response
2.03,-0.5145298,-0.64686061,-0.38219899,  Favored The Other Party,Outlet,Rated Response
2.1,,,,  ,NA,Rated Response
3,,,,Message Slant:,NA,Rated Response
3.01,0.16035,0.03680217,0.28389783,  Biased Towards One's Own Party,Msg,Rated Response
3.02,0,0,0,  Neutral Message,Msg,Rated Response
3.03,-0.35029775,-0.48544239,-0.21515311,  Biased Towards The Other Party,Msg,Rated Response
3.1,,,,   ,NA,Rated Response
4,,,,Endorsement ?? Extreme Partisan:,NA,Rated Response
4.01,0,0,0,  Low Endorsement ?? Extreme Partisan,EndExtreme,Rated Response
4.02,0.09570382,-0.06906391,0.26047154,  High Endorsement ?? Extreme Partisan,EndExtreme,Rated Response
4.1,,,,    ,NA,Rated Response
5,,,,Outlet Slant ?? Extreme Partisan:,NA,Rated Response
5.01,0.12869396,-0.05773302,0.31512093,  Favored One's Own Party ?? Extreme Partisan,OutletExtreme,Rated Response
5.02,0,0,0,  Neutral Outlet ?? Extreme Partisan,OutletExtreme,Rated Response
5.03,-0.33290421,-0.5517364,-0.11407203,  Favored The Other Party ?? Extreme Partisan,OutletExtreme,Rated Response
5.1,,,,     ,NA,Rated Response
6,,,,Message Slant ?? Extreme Partisan:,NA,Rated Response
6.01,0.10294207,-0.08717863,0.29306277,  Biased Towards One's Own Party ?? Extreme Partisan,MsgExtreme,Rated Response
6.02,0,0,0,  Neutral Message ?? Extreme Partisan,MsgExtreme,Rated Response
6.03,-0.28700364,-0.49742725,-0.07658003,  Biased Towards The Other Party ?? Extreme Partisan,MsgExtreme,Rated Response
